"type","gasUsed","gasPrice","1ETH*USD","gasUsed*gasPrice(Ether)","gasUsed*gasPrice(USD)","time(s)"
"prescribe",534357,"20",1300,"0.01068714",13.893282,1
"prescribe",466781,"20",1300,"0.00933562",12.136306,0
"prescribe",466709,"20",1300,"0.00933418",12.134433999999999,1
"prescribe",534381,"20",1300,"0.01068762",13.893906,1
"prescribe",615563,"20",1300,"0.01231126",16.004638,0
"prescribe",615599,"20",1300,"0.01231198",16.005574,5
"prescribe",466733,"20",1300,"0.00933466",12.135057999999999,2
"prescribe",534357,"20",1300,"0.01068714",13.893282,0
"prescribe",615659,"20",1300,"0.01231318",16.007134,8
"prescribe",534297,"20",1300,"0.01068594",13.891722,0
"prescribe",615491,"20",1300,"0.01230982",16.002766,0
"prescribe",615671,"20",1300,"0.01231342",16.007446,5
"prescribe",534393,"20",1300,"0.01068786",13.894218,0
"prescribe",466781,"20",1300,"0.00933562",12.136306,1
"prescribe",534213,"20",1300,"0.01068426",13.889537999999998,0
"prescribe",466793,"20",1300,"0.00933586",12.136618,0
"prescribe",466625,"20",1300,"0.0093325",12.13225,0
"prescribe",534237,"20",1300,"0.01068474",13.890162,2
"prescribe",466781,"20",1300,"0.00933562",12.136306,0
"prescribe",466769,"20",1300,"0.00933538",12.135994,0
"prescribe",466685,"20",1300,"0.0093337",12.13381,0
"prescribe",534333,"20",1300,"0.01068666",13.892658,0
"prescribe",534297,"20",1300,"0.01068594",13.891722,0
"prescribe",615467,"20",1300,"0.01230934",16.002142,1
"prescribe",534345,"20",1300,"0.0106869",13.892969999999998,1
"prescribe",466757,"20",1300,"0.00933514",12.135682000000001,1
"prescribe",615479,"20",1300,"0.01230958",16.002454,0
"prescribe",466913,"20",1300,"0.00933826",12.139738,1
"prescribe",615575,"20",1300,"0.0123115",16.00495,0
"prescribe",534213,"20",1300,"0.01068426",13.889537999999998,0
"prescribe",615503,"20",1300,"0.01231006",16.003078,1
"prescribe",466673,"20",1300,"0.00933346",12.133498,0
"prescribe",615563,"20",1300,"0.01231126",16.004638,0
"prescribe",615623,"20",1300,"0.01231246",16.006198,0
"prescribe",466649,"20",1300,"0.00933298",12.132874,2
"prescribe",615431,"20",1300,"0.01230862",16.001206,0
"prescribe",466853,"20",1300,"0.00933706",12.138178,0
"prescribe",466649,"20",1300,"0.00933298",12.132874,0
"prescribe",615563,"20",1300,"0.01231126",16.004638,0
"prescribe",615551,"20",1300,"0.01231102",16.004326000000002,0
"prescribe",534225,"20",1300,"0.0106845",13.88985,1
"prescribe",466865,"20",1300,"0.0093373",12.13849,0
"prescribe",534441,"20",1300,"0.01068882",13.895466,0
"prescribe",615455,"20",1300,"0.0123091",16.001829999999998,0
"prescribe",466889,"20",1300,"0.00933778",12.139114000000001,0
