"filename", "language", "Shell Script", "JavaScript", "env", "JSON", "Solidity", "Markdown", "CSV", "HTML", "CSS", "XML", "Svelte", "comment", "blank", "total"
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/chaindoser/src/routes/patient/[id]/+page.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/chaindoser/src/routes/patient/[id]/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 133, 0, 6, 139
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/chaindoser/src/routes/permission/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 0, 6, 110
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/chaindoser/src/routes/prescribe/+page.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/chaindoser/src/routes/prescribe/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 695, 8, 35, 738
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/chaindoser/src/routes/treatment/[id]/+page.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/chaindoser/src/routes/treatment/[id]/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 185, 0, 6, 191
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/chaindoser/src/service-worker.js", "JavaScript", 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 9, 148
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/chaindoser/static/app.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 12, 12, 92
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/chaindoser/static/icon-vector.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
